"snrdB","cl","pr"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","1"
-32,"4","3"
-32,"4","3"
-32,"4","1"
-32,"4","3"
-32,"4","1"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","1"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","6"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","4"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","1"
-32,"4","3"
-32,"4","1"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","4"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","1"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","1"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","1"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","1"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","1"
-32,"4","3"
-32,"4","1"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","1"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","5"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","4"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","1"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","4"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","1"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","1"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","4"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","1"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
-32,"4","3"
