"snrdB","cl","pr"
"1",-25,"4","2"
"2",-25,"4","5"
"3",-25,"4","6"
"4",-25,"4","2"
"5",-25,"4","4"
"6",-25,"4","4"
"7",-25,"4","1"
"8",-25,"4","1"
"9",-25,"4","2"
"10",-25,"4","4"
"11",-25,"4","3"
"12",-25,"4","4"
"13",-25,"4","5"
"14",-25,"4","4"
"15",-25,"4","1"
"16",-25,"4","3"
"17",-25,"4","4"
"18",-25,"4","4"
"19",-25,"4","5"
"20",-25,"4","2"
"21",-25,"4","1"
"22",-25,"4","2"
"23",-25,"4","3"
"24",-25,"4","5"
"25",-25,"4","5"
"26",-25,"4","2"
"27",-25,"4","2"
"28",-25,"4","4"
"29",-25,"4","3"
"30",-25,"4","4"
"31",-25,"4","4"
"32",-25,"4","6"
"33",-25,"4","4"
"34",-25,"4","4"
"35",-25,"4","1"
"36",-25,"4","4"
"37",-25,"4","5"
"38",-25,"4","3"
"39",-25,"4","2"
"40",-25,"4","1"
"41",-25,"4","6"
"42",-25,"4","5"
"43",-25,"4","6"
"44",-25,"4","6"
"45",-25,"4","4"
"46",-25,"4","5"
"47",-25,"4","3"
"48",-25,"4","5"
"49",-25,"4","6"
"50",-25,"4","4"
"51",-25,"4","2"
"52",-25,"4","5"
"53",-25,"4","4"
"54",-25,"4","4"
"55",-25,"4","2"
"56",-25,"4","1"
"57",-25,"4","5"
"58",-25,"4","1"
"59",-25,"4","3"
"60",-25,"4","3"
"61",-25,"4","3"
"62",-25,"4","5"
"63",-25,"4","5"
"64",-25,"4","2"
"65",-25,"4","3"
"66",-25,"4","4"
"67",-25,"4","1"
"68",-25,"4","1"
"69",-25,"4","5"
"70",-25,"4","3"
"71",-25,"4","2"
"72",-25,"4","6"
"73",-25,"4","3"
"74",-25,"4","6"
"75",-25,"4","5"
"76",-25,"4","3"
"77",-25,"4","3"
"78",-25,"4","6"
"79",-25,"4","2"
"80",-25,"4","5"
"81",-25,"4","4"
"82",-25,"4","2"
"83",-25,"4","4"
"84",-25,"4","3"
"85",-25,"4","1"
"86",-25,"4","2"
"87",-25,"4","2"
"88",-25,"4","5"
"89",-25,"4","4"
"90",-25,"4","3"
"91",-25,"4","6"
"92",-25,"4","4"
"93",-25,"4","4"
"94",-25,"4","6"
"95",-25,"4","5"
"96",-25,"4","2"
"97",-25,"4","1"
"98",-25,"4","4"
"99",-25,"4","1"
"100",-25,"4","6"
"101",-25,"4","6"
"102",-25,"4","4"
"103",-25,"4","1"
"104",-25,"4","2"
"105",-25,"4","3"
"106",-25,"4","4"
"107",-25,"4","5"
"108",-25,"4","4"
"109",-25,"4","1"
"110",-25,"4","2"
"111",-25,"4","1"
"112",-25,"4","3"
"113",-25,"4","1"
"114",-25,"4","5"
"115",-25,"4","4"
"116",-25,"4","3"
"117",-25,"4","5"
"118",-25,"4","3"
"119",-25,"4","2"
"120",-25,"4","1"
"121",-25,"4","1"
"122",-25,"4","6"
"123",-25,"4","1"
"124",-25,"4","6"
"125",-25,"4","3"
"126",-25,"4","2"
"127",-25,"4","6"
"128",-25,"4","3"
"129",-25,"4","2"
"130",-25,"4","1"
"131",-25,"4","5"
"132",-25,"4","2"
"133",-25,"4","6"
"134",-25,"4","5"
"135",-25,"4","4"
"136",-25,"4","1"
"137",-25,"4","6"
"138",-25,"4","1"
"139",-25,"4","5"
"140",-25,"4","6"
"141",-25,"4","5"
"142",-25,"4","5"
"143",-25,"4","6"
"144",-25,"4","4"
"145",-25,"4","6"
"146",-25,"4","1"
"147",-25,"4","3"
"148",-25,"4","5"
"149",-25,"4","3"
"150",-25,"4","2"
"151",-25,"4","4"
"152",-25,"4","4"
"153",-25,"4","5"
"154",-25,"4","2"
"155",-25,"4","3"
"156",-25,"4","1"
"157",-25,"4","1"
"158",-25,"4","4"
"159",-25,"4","2"
"160",-25,"4","1"
"161",-25,"4","1"
"162",-25,"4","5"
"163",-25,"4","3"
"164",-25,"4","3"
"165",-25,"4","3"
"166",-25,"4","3"
"167",-25,"4","4"
"168",-25,"4","5"
"169",-25,"4","4"
"170",-25,"4","4"
